Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),
RIVN,Rivian,"Automotive,",Inc.,18.39,-0.68,-3.58%,11.61M,35.706M,17.61B,N/A
AAL,American,Airlines,Group,Inc.,14.40,+0.05,+0.31%,11.524M,36.199M,9.408B,6.02
ERIC,Telefonaktiebolaget,LM,Ericsson,(publ),6.11,-0.07,-1.05%,10.811M,11.984M,20.33B,N/A
GOOGL,Alphabet,Inc.,141.47,-0.81,-0.57%,10.414M,29.169M,1.779T,27.10
INTC,Intel,Corporation,46.83,-0.64,-1.34%,10.211M,39.797M,197.456B,N/A
CCL,Carnival,Corporation,&,plc,17.19,-0.59,-3.32%,10.169M,30.359M,22.455B,N/A
CHWY,"Chewy,",Inc.,19.85,-0.09,-0.45%,10.045M,9.429M,8.563B,661.67
RIG,Transocean,Ltd.,5.59,-0.11,-1.95%,9.514M,15.383M,4.522B,N/A
UBER,Uber,"Technologies,",Inc.,62.06,-0.35,-0.56%,9.46M,31.574M,127.711B,119.35
C,Citigroup,Inc.,51.69,-1.33,-2.52%,10.005M,18.945M,98.919B,8.20
INFY,Infosys,Limited,18.83,+0.73,+4.03%,9.194M,6.744M,78.724B,25.79
MPW,Medical,Properties,"Trust,",Inc.,3.5278,-0.1122,-3.08%,9.18M,18.898M,2.113B,N/A
WBD,Warner,Bros.,"Discovery,",Inc.,10.51,-0.46,-4.20%,9.074M,22.662M,25.627B,N/A
CYTK,"Cytokinetics,",Incorporated,83.91,-17.72,-17.44%,8.945M,3.053M,8.228B,N/A
U,Unity,Software,Inc.,34.87,-2.26,-6.09%,8.732M,12.482M,13.251B,N/A
TME,Tencent,Music,Entertainment,Group,9.27,+0.23,+2.60%,8.613M,8.276M,15.917B,22.08
BABA,Alibaba,Group,Holding,Limited,71.84,+0.43,+0.60%,8.577M,18.523M,179.6B,10.09
NOK,Nokia,Oyj,3.4800,-0.0100,-0.29%,8.417M,17.062M,19.269B,4.64
META,Meta,"Platforms,",Inc.,363.87,-6.60,-1.78%,8.287M,18.199M,935.095B,32.09
GRFS,"Grifols,",S.A.,8.12,-1.13,-12.22%,7.52M,1.457M,6.852B,203.00
BBD,Banco,Bradesco,S.A.,3.2733,-0.0067,-0.20%,7.695M,15.559M,34.835B,13.64
PARA,Paramount,Global,13.24,-0.88,-6.20%,7.39M,15.78M,8.813B,N/A
SNAP,Snap,Inc.,16.87,-0.50,-2.90%,7.17M,26.997M,27.768B,N/A
VZ,Verizon,Communications,Inc.,38.58,-0.50,-1.27%,6.989M,22.439M,162.215B,7.76
GOOG,Alphabet,Inc.,143.06,-0.74,-0.51%,6.961M,22.168M,1.78T,27.41
PTON,Peloton,"Interactive,",Inc.,5.70,-0.41,-6.79%,6.826M,12.641M,2.053B,N/A
HOOD,Robinhood,"Markets,",Inc.,11.66,-0.48,-3.91%,6.731M,12.804M,10.088B,N/A
VALE,Vale,S.A.,14.75,-0.02,-0.14%,6.707M,20.524M,64.631B,7.02
VTRS,Viatris,Inc.,12.10,0.00,0.00%,6.549M,9.096M,14.516B,8.01
RXRX,Recursion,"Pharmaceuticals,",Inc.,10.57,-1.91,-15.33%,6.485M,4.82M,2.283B,N/A
UPST,Upstart,"Holdings,",Inc.,32.37,-3.20,-9.00%,6.453M,8.92M,2.753B,N/A
AFRM,Affirm,"Holdings,",Inc.,41.30,-2.26,-5.18%,6.196M,20.129M,12.462B,N/A
AI,"C3.ai,",Inc.,26.26,-2.28,-7.99%,5.908M,8.837M,3.148B,N/A
QS,QuantumScape,Corporation,7.97,-0.33,-3.98%,5.85M,9.063M,3.902B,N/A
MRVL,Marvell,"Technology,",Inc.,64.06,+0.63,+0.99%,5.85M,9.635M,55.38B,N/A
KVUE,Kenvue,Inc.,21.66,-0.11,-0.51%,5.798M,22.282M,41.479B,38.00
ITUB,Itaú,Unibanco,Holding,S.A.,6.80,-0.01,-0.11%,5.795M,14.36M,66.687B,10.31
NMR,Nomura,"Holdings,",Inc.,4.7499,+0.0399,+0.85%,5.789M,6.434M,14.32B,16.38
WBA,Walgreens,Boots,"Alliance,",Inc.,24.22,-0.47,-1.88%,5.694M,14.106M,20.882B,36.69
HBAN,Huntington,Bancshares,Incorporated,12.56,-0.38,-2.90%,5.699M,15.968M,18.181B,8.31
CNHI,CNH,Industrial,N.V.,11.69,-0.13,-1.10%,5.738M,13.723M,15.059B,6.76
RUN,Sunrun,Inc.,15.53,-0.77,-4.75%,6.004M,14.202M,3.385B,N/A
KEY,KeyCorp,14.12,-0.34,-2.32%,5.588M,15.225M,13.225B,11.48
BTG,B2Gold,Corp.,2.9900,-0.0800,-2.61%,5.345M,9.105M,3.897B,11.96
WFC,Wells,Fargo,&,Company,48.73,-0.35,-0.71%,5.354M,16.855M,176.97B,10.64
PYPL,PayPal,"Holdings,",Inc.,60.31,-0.65,-1.07%,5.096M,16.003M,65.023B,18.00
KGC,Kinross,Gold,Corporation,5.57,-0.06,-0.98%,5.121M,13.632M,6.844B,29.34
PCG,PG&E,Corporation,17.70,-0.46,-2.53%,5.028M,17.731M,45.02B,20.58
