Symbol,Name,,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),,,
HOOD,Robinhood,"Markets,",Inc.,12.2,-0.22,-1.77%,7.311M,12.733M,10.55B,N/A,,
TSM,Taiwan,Semiconductor,Manufacturing,Company,Limited,101.89,-0.35,-0.34%,7.298M,9.13M,528.443B,18.76
SCHW,The,Charles,Schwab,Corporation,66.75,-1.05,-1.55%,7.069M,10.372M,121.657B,22.25,
SPR,Spirit,AeroSystems,"Holdings,",Inc.,28.09,-0.11,-0.39%,7.246M,4.204M,3.259B,N/A,
HAL,Halliburton,Company,34.51,-0.7,-1.99%,7.033M,6.677M,30.888B,11.86,,,
TME,Tencent,Music,Entertainment,Group,8.81,0.04,0.46%,7.069M,8.216M,15.119B,20.98,
BSX,Boston,Scientific,Corporation,59.23,0.81,1.39%,8.154M,7.265M,86.771B,72.23,,
HST,Host,Hotels,&,"Resorts,",Inc.,19.84,-0.55,-2.70%,6.935M,6.725M,14.194B,18.9
MRO,Marathon,Oil,Corporation,23.21,-0.53,-2.23%,6.85M,9.852M,13.584B,8.44,,
TFC,Truist,Financial,Corporation,37.68,-0.32,-0.84%,6.782M,9.747M,50.253B,9.47,,
RKLB,Rocket,Lab,"USA,",Inc.,5.45,-0.1,-1.80%,6.782M,5.68M,2.648B,N/A,
HPQ,HP,Inc.,30.16,-0.84,-2.71%,8.495M,8.374M,29.886B,9.25,,,
ORCL,Oracle,Corporation,103.63,-1.03,-0.98%,6.702M,9.098M,284.871B,28.63,,,
ON,ON,Semiconductor,Corporation,77.03,-0.91,-1.17%,7.543M,7.415M,33.177B,15.53,,
CRK,Comstock,"Resources,",Inc.,9.25,0.34,3.82%,6.63M,3.78M,2.575B,4.13,,
ZI,ZoomInfo,Technologies,Inc.,16.29,-0.11,-0.67%,6.628M,6.853M,11.258B,47.91,,
PDD,PDD,Holdings,Inc.,150.48,2.93,1.99%,6.603M,7.626M,199.926B,33.89,,
AMCR,Amcor,plc,9.77,-0.04,-0.41%,6.564M,8.357M,14.121B,14.8,,,
SMCI,Super,Micro,"Computer,",Inc.,343.73,23.45,7.32%,6.689M,3.147M,19.198B,31.74,
O,Realty,Income,Corporation,59.29,-0.19,-0.32%,6.627M,6.91M,42.923B,44.92,,
CCJ,Cameco,Corporation,44.73,2.02,4.73%,6.489M,4.862M,19.407B,97.24,,,
BTG,B2Gold,Corp.,3.07,-0.02,-0.65%,6.55M,9.098M,3.993B,12.28,,,
GILD,Gilead,"Sciences,",Inc.,86.06,2.07,2.46%,7.587M,6.407M,107.234B,18.43,,
JNJ,Johnson,&,Johnson,161.63,0.1,0.06%,6.356M,6.986M,389.089B,30.32,,
SBUX,Starbucks,Corporation,93.09,-1.1,-1.17%,6.347M,7.745M,105.815B,26,,,
MCHP,Microchip,Technology,Incorporated,85.34,-0.3,-0.35%,6.384M,4.953M,46.173B,18.71,,
PEP,"PepsiCo,",Inc.,167.17,-1.94,-1.15%,6.267M,5.515M,229.835B,27.86,,,
KHC,The,Kraft,Heinz,Company,38.55,0.3,0.78%,8.104M,7.991M,47.283B,15.93,
EQT,EQT,Corporation,38.07,-0.14,-0.37%,6.247M,5.337M,15.659B,5.22,,,
GFI,Gold,Fields,Limited,12.38,-0.22,-1.75%,6.194M,4.87M,11.257B,16.96,,
LYG,Lloyds,Banking,Group,plc,2.38,-0.06,-2.46%,6.228M,8.342M,37.824B,4.96,
PTEN,Patterson-UTI,"Energy,",Inc.,10.3,-0.23,-2.18%,6.197M,6.616M,4.298B,8.31,,
INFY,Infosys,Limited,18.25,-0.15,-0.82%,6.106M,6.862M,75.535B,25,,,
TD,The,Toronto-Dominion,Bank,61.98,-2.31,-3.59%,6.024M,3.058M,110.989B,14.79,,
ROIV,Roivant,Sciences,Ltd.,11.35,-0.09,-0.79%,6.007M,5.873M,9.125B,N/A,,
CRWD,CrowdStrike,"Holdings,",Inc.,273.77,12.49,4.78%,6M,3.035M,65.744B,N/A,,
AR,Antero,Resources,Corporation,23.44,0.43,1.87%,5.991M,5.04M,7.045B,8.52,,
NEOG,Neogen,Corporation,18.18,-1.66,-8.37%,5.989M,1.706M,3.933B,N/A,,,
NXT,Nextracker,Inc.,42.04,0.66,1.59%,6.902M,2.805M,6.082B,20.51,,,
IQ,"iQIYI,",Inc.,4.48,-0.07,-1.54%,6.771M,7.971M,4.286B,34.46,,,
UPST,Upstart,"Holdings,",Inc.,34.86,-0.68,-1.91%,5.981M,8.779M,2.965B,N/A,,
COP,ConocoPhillips,112.76,-1.74,-1.52%,5.935M,5.887M,133.892B,12.28,,,,
ARM,Arm,Holdings,plc,71.88,-0.96,-1.32%,5.923M,6.093M,73.694B,422.82,,
MDT,Medtronic,plc,86.66,0.09,0.10%,5.882M,6.886M,115.227B,28.14,,,
STNE,StoneCo,Ltd.,16.67,-0.79,-4.52%,5.83M,5.508M,5.238B,26.05,,,
PR,Permian,Resources,Corporation,13.21,-0.21,-1.56%,5.823M,9.17M,10.195B,14.84,,
VKTX,Viking,"Therapeutics,",Inc.,21.56,2.08,10.68%,5.81M,2.495M,2.157B,N/A,,
NYCB,New,York,Community,"Bancorp,",Inc.,10.46,-0.13,-1.23%,5.769M,9.744M,7.557B,2.68
FHN,First,Horizon,Corporation,14.32,-0.23,-1.58%,5.74M,8.768M,8.002B,8.57,,
AA,Alcoa,Corporation,31.94,0.21,0.66%,5.734M,5.927M,5.7B,N/A,,,
PENN,PENN,"Entertainment,",Inc.,24.54,-0.84,-3.31%,5.716M,5.397M,3.724B,N/A,,
WMT,Walmart,Inc.,159.31,1.06,0.67%,7.226M,7.583M,428.899B,26.51,,,
RCM,R1,RCM,Inc.,9.15,-0.66,-6.73%,5.546M,4.164M,3.834B,N/A,,
ONON,On,Holding,AG,27.53,-0.67,-2.38%,5.528M,4.856M,8.758B,98.32,,
CELH,Celsius,"Holdings,",Inc.,58.08,-0.07,-0.12%,5.516M,4.97M,13.456B,121,,
NEE,NextEra,"Energy,",Inc.,62.01,-0.91,-1.45%,5.535M,12.981M,127.227B,16.36,,
KOS,Kosmos,Energy,Ltd.,6.63,-0.14,-2.07%,5.497M,4.35M,3.051B,41.44,,
LI,Li,Auto,Inc.,33,-1,-2.94%,5.715M,5.654M,33.073B,143.48,,
WU,The,Western,Union,Company,12.15,-0.16,-1.30%,5.459M,4.887M,4.427B,6.17,
APA,APA,Corporation,32.97,-0.76,-2.25%,5.456M,4.223M,9.992B,6.58,,,
DASH,"DoorDash,",Inc.,103.05,4.53,4.60%,5.376M,4.55M,41.035B,N/A,,,
LUV,Southwest,Airlines,Co.,29.32,0.2,0.69%,5.346M,8.321M,17.478B,36.2,,
EPD,Enterprise,Products,Partners,L.P.,26.89,0.11,0.41%,5.285M,4.482M,58.402B,10.93,
DHR,Danaher,Corporation,230.87,-3.99,-1.70%,5.256M,3.077M,170.596B,29.08,,,
BX,Blackstone,Inc.,121,-1.34,-1.10%,5.256M,3.724M,146.353B,50.63,,,
MOS,The,Mosaic,Company,34.19,-1.2,-3.39%,5.247M,3.706M,11.174B,8.66,,
UAA,Under,"Armour,",Inc.,8.34,0.14,1.71%,5.202M,6.592M,3.578B,9.27,,
GPS,The,"Gap,",Inc.,21.31,-0.35,-1.62%,5.14M,9.396M,7.902B,193.73,,
VFC,V.F.,Corporation,17.16,-0.17,-0.98%,5.309M,8.752M,6.673B,N/A,,,
NMR,Nomura,"Holdings,",Inc.,4.67,-0.05,-1.06%,5.128M,6.585M,14.079B,16.1,,
MDLZ,Mondelez,"International,",Inc.,73.74,0.03,0.04%,5.079M,6.52M,100.353B,22.08,,
NTNX,"Nutanix,",Inc.,47,0.04,0.09%,5.044M,2.048M,11.406B,N/A,,,
MNST,Monster,Beverage,Corporation,58.74,0.78,1.35%,5.043M,5.81M,61.115B,39.96,,
BTI,British,American,Tobacco,p.l.c.,30.31,-0.26,-0.85%,5.035M,4.846M,67.786B,6.16,
